Code;Bezeichnung;Niveau;Misc
28;Textil- und Lederberufe;;
281;Textiltechnik und -produktion;;
2810;Berufe in der Textiltechnik (o.S.);;
28101;Textiltechnik (o.S.) - Helfer;Helfer;
28102;Textiltechnik (o.S.) - Fachkraft;Fachkraefte;
28103;Textiltechnik (o.S.) - Spezialist;Spezialisten;
28104;Textiltechnik (o.S.) - Experte;Experten;
2811;Berufe in der Textilgestaltung;;
28112;Textilgestaltung - Fachkraft;Fachkraefte;
28113;Textilgestaltung - Spezialist;Spezialisten;
28114;Textilgestaltung - Experte;Experten;
2812;Berufe in der Textilherstellung;;
28122;Textilherstellung - Fachkraft;Fachkraefte;
28123;Textilherstellung - Spezialist;Spezialisten;
2813;Berufe in der Garn- und Seilherstellung;;
28132;Garn- und Seilherstellung - Fachkraft;Fachkraefte;
28133;Garn- und Seilherstellung - Spezialist;Spezialisten;
2814;Berufe in der Textilveredlung;;
28142;Textilveredlung - Fachkraft;Fachkraefte;
28143;Textilveredlung - Spezialist;Spezialisten;
2819;Aufsicht,Führung-Textiltechn.,-produkt.;;Aufsicht
28193;Aufsicht - Textiltechnik, -produktion;;Aufsicht
28194;Führung - Textiltechnik, -produktion;;Führung
282;Textilverarbeitung;;
2821;Berufe im Modedesign;;
28212;Modedesign - Fachkraft;Fachkraefte;
28213;Modedesign - Spezialist;Spezialisten;
28214;Modedesign - Experte;Experten;
2822;Berufe i.d. Bekleidungsherstellung;;
28221;Bekleidungsherstellung - Helfer;Helfer;
28222;Bekleidungsherstellung - Fachkraft;Fachkraefte;
28223;Bekleidungsherstellung - Spezialist;Spezialisten;
28224;Bekleidungsherstellung - Experte;Experten;
2823;Technische Konfektionäre, Segelmacher;;
28232;Tech.Konfektionäre,Segelmacher-Fachkraft;Fachkraefte;
2824;Berufe Polsterei, Fahrzeuginnenausstat.;;
28242;Polsterei,Fahrzeuginnenausstat-Fachkraft;Fachkraefte;
2829;Aufsicht,Führung - Textilverarbeitung;;Aufsicht
