3_digit_code;Name;Niveau;Männer;Frauen;Berufe
117;Forst-,Jagdwirtschaft, Landschaftspflege;Fachkraefte;12.570;1.230;['Tierfänger/in', 'Waldwegewart/in', 'Jagdheger/in', 'Forstbaumschulwärter/in', 'Revierjäger/in', 'Beamt(er/in) - Forstdienst (mittl. Dienst)', 'Jäger/in (Berufsjäger/in)', 'Berufsjäger/in', 'Beamt(er/in) - Forstdienst (mittl. techn. Dienst)', 'Forstwirt/in (Waldfacharbeiter/in)', 'Waldfacharbeiter/in', 'Forstfacharbeiter/in/Mechanisator/in', 'Forstwirt/in', 'Wildhüter/in', 'Facharbeiter/in - Forstwirtschaft', 'Forstfacharbeiter/in', 'Wildheger/in', 'Pilzsammler/in', 'Wildjäger/in', 'Kräutersammler/in', 'Waldfrüchtesammler/in', 'Fachkraft für Rekultivierung', 'Naturschutzwart/in']
117;Forst-,Jagdwirtschaft, Landschaftspflege;Helfer;10.320;680;['Waldkulturarbeiter/in', 'Forstarbeiter/in', 'Forsthilfsarbeiter/in', 'Baumfäller/in', 'Holzfäller/in', 'Helfer/in - Forstwirtschaft', 'Köhler/in', 'Forstwirtschaftshelfer/in', 'Motorsägenführer/in (Waldwirtschaft)', 'Waldhelfer/in', 'Waldarbeiter/in', 'Holzrücker/in', 'Forsthelfer/in', 'Forstkulturarbeiter/in']
117;Forst-,Jagdwirtschaft, Landschaftspflege;Spezialisten;6.130;1.620;['Ingenieurökonom/in - Soz. Betriebswirtsch.(Forstwirtschaft)', 'Techniker/in - Forstwirtschaft', 'Fachagrarwirt/in - Naturschutz und Landschaftspflege', 'Landschaftsökologietechniker/in', 'Techniker/in - Umwelt/Landschaft', 'Natur- und Landschaftspfleger/in', 'Förster/in (geh. Dienst)', 'Ranger/in', 'Forstbeamt(er/in) (geh. Dienst)', 'Landschaftspfleger/in', 'Forstingenieur/in (FS)', 'Beamt(er/in) - Forstdienst (geh. Dienst)', 'Landschaftspfleger/in (Fachagrarwirt/in)', 'Techniker/in - Landschaft', 'Berater/in - Naturschutz', 'Naturschutzbeauftragte/r', 'Forstwirtschaftstechniker/in', 'Forsttechniker/in', 'Techniker/in - Forsttechnik/B. Prof. Technik']
121;Gartenbau;Experten;5.950;6.930;['Gartenbauwissenschaftler/in', 'Freiraumplaner/in', 'Garten- und Landschaftsplaner/in', 'Ingenieur/in - Landschaftsarchitektur', 'Landschafts- und Freiraumplaner/in', 'Landschaftsplaner/in', 'Dipl.-Gartenbauingenieur/in (Uni) - Gärtnerische Produktion', 'Dipl.-Ing. - Landschaftsarchitektur/Landespfl./planung', 'Dipl.-Ing. - Gartenbau', 'Ingenieur/in - Landespflege/Landschaftsplanung/-architektur', 'Dipl.-Ing. (Uni) - Agrarwirtschaft (Gartenbau)', 'Landschaftsarchitekt/in', 'Gartenarchitekt/in', 'Grünplaner/in', 'Gartenbauingenieur/in', 'Landespfleger/in (Uni)', 'Garten- und Landschaftsarchitekt']
121;Gartenbau;Fachkraefte;100.730;24.410;['Assistent/in - Betriebsleitung im Gartenbau', 'Blumengärtner/in', 'Landschaftsgärtner/in', 'Obstbaufacharbeiter/in', 'Gartenbauer/in', 'Vorarbeiter/in - Gartenbau', 'Parkgärtner/in', 'Friedhofsgärtner/in', 'Greenkeeper-Assistent/in', 'Gärtner/in - Obstbau', 'Gärtner/in - Friedhofsgärtnerei', 'Gärtner/in - Baumschule', 'Zierpflanzengärtner/in', 'Baumschulgärtner/in', 'Gärtner/in - Gemüseproduktion unter Glas und Plasten', 'Gärtner/in - Staudengärtnerei', 'Gärtner/in - Zierpflanzenbau', 'Gartenbauwerker/in', 'Fachwerker/in im Gartenbau (Schwerp. Garten-,Landschaftsbau)', 'Gärtner/in - Garten- und Landschaftsbau', 'Champignonzüchter/in', 'Gartenbaufacharbeiter/in', 'Edelpilzzüchter/in', 'Obstgärtner/in', 'Gartenbauwerker/in (§66 BBiG/§42m HWO)', 'Gärtner/in - Gemüsebau', 'Pflanzenzüchter/in', 'Gemüsegärtner/in', 'Gemüsebauer/-bäuerin', 'Anlagengärtner/in', 'Facharbeiter/in - Grünanlagen', 'Saat- und Pflanzenzüchter/in', 'Ziergärtner/in', 'Fachwerker/in im Gartenbau (Garten-, Zierpflanzenbau)', 'Betriebsgärtner/in', 'Gartenbaufachkraft', 'Obstbauer/-bäuerin (Gärtner/in)', 'Staudengärtner/in', 'Pilzzüchter/in (Edelpilzzucht)', 'Grabpfleger/in', 'Baumpfleger/in']
121;Gartenbau;Helfer;81.560;18.460;['Gartenbauhelfer/in', 'Floristikhelfer/in', 'Landschaftsarbeiter/in', 'Helfer/in - Baumschule', 'Gärtnereihilfsarbeiter/in', 'Blumenbinderhelfer/in', 'Friedhofsarbeiter/in', 'Helfer/in - Floristik', 'Gartenbauhilfskraft', 'Baumschulenarbeiter/in', 'Friedhofswärter/in', 'Friedhofsgartenarbeiter/in', 'Helfer/in - Landschaftsarbeit', 'Grünanlagenpfleger/in', 'Baumschulenhelfer/in', 'Gartenarbeiter/in', 'Helfer/in - Gartenbau', 'Rasenpfleger/in', 'Helfer/in - Grünanlagen', 'Gärtnergehilf(e/in)']
121;Gartenbau;Spezialisten;12.090;2.140;['Gemüseanbauberater/in', 'Techniker/in - Gartenbau (ohne Schwerpunkt)/B. Prof. Technik', 'Gartenbautechniker/in', 'Techniker/in - Obstbau und Obstveredelung', 'Techniker/in - Gartenbau (Erwerbsgartenbau)', 'Saatzüchter/in', 'Landschaftsgestalter/in', 'Gartentechniker/in', 'Garten-/Landschaftsgestalter/in', 'Techniker/in - Gartenbau (Gemüsebau)', 'Fachberater/in - Obstbau', 'Garten- und Landschaftsbautechniker/in', 'Fachagrarwirt/in - Baumpflege/B. Prof. Baumpflege', 'Techniker/in (staatl.gepr.) - Agrartechnik (Gartenbau)', 'Gartenberater/in', 'Techniker/in - Gartenbau (Prod. u. Vermar.)/B. Prof. Technik', 'Techniker/in - Gartenbau (Zierpflanzenbau)', 'Gestalter/in - Garten- und Landschaftsbau', 'Produktionsgartenbautechniker/in', 'Greenkeeper/in (Golf)', 'Techniker/in - Gartenbau (Staudengärtnerei)', 'Grünflächengestalter/in', 'Fachagrarwirt/in - Head-Greenkeeper/in', 'Landschaftsbautechniker/in', 'Obstbautechniker/in', 'Saatzuchttechniker/in', 'Techniker/in - Agrartechnik (Produktionsgartenbau)', 'Gartenbauingenieur/in (FS) - Gärtnerische Produktion', 'Techniker/in - Obstbau u. Obstverwertung', 'Head-Greenkeeper', 'Baumsanierer/in', 'Techniker/in - Agrartechnik (Garten-, Landschaftsbau)', 'Agrarwirt/in - Baumpflege und Baumsanierung', 'Fachagrarwirt/in - Sport- und Golfplatzpflege', 'Fachberater/in - Gartenbau', 'Techniker/in - Gartenbau (Baumschule)', 'Techniker/in - Gartenbau (Friedhofsgärtnerei)', 'Techniker/in (staatl.gepr.) - Agrartechnik (Landschaftsbau)', 'Fachberater/in - Pflanzen und Saatgut', 'Gartenbautechniker/in - Produktion und Vermarktung', 'Bauingenieur/in (FS) - Landschafts- und Grünanlagenanbau', 'Gartenbauingenieur/in (FS) - Garten und Landschaftsgestaltg.', 'Gemüsebautechniker/in', 'Obstbauberater/in', 'Saatzuchtgärtner/in', 'Techniker/in - Produktionsgartenbau', 'Gartenbauberater/in', 'Baumschulentechniker/in', 'Techniker/in - Landschaftsbau', 'Gartenbautechniker/in - Friedhofsgärtnerei', 'Techniker/in - Gartenbau (GaLaBau)/B. Prof. Technik']
122;Floristik;Fachkraefte;1.220;25.310;['Blumenbinder/in (Naturblumen)', 'Blumenbinder/in und -händler/in (Florist/in)', 'Florist/in', 'Gärtner/in - Blumenbinden', 'Straußbinder/in', 'Blumenverkäufer/in', 'Blumenbinder/in', 'Kranzbinder/in', 'Trauerbinder/in', 'Floralarrangeur/in', 'Blumenhändler/in']
122;Floristik;Spezialisten;60;490;['Gestalter/in - Blumenkunst/B. Prof. Gestaltung', 'Floristiktechniker/in', 'Techniker/in - Gartenbau (Floristik)', 'Floralgestalter/in', 'Florist/in (staatl. geprüft)']
211;Berg-, Tagebau und Sprengtechnik;Experten;2.660;420;['Salineningenieur/in', 'Bohringenieur/in', 'Ingenieur/in - Tiefbohrtechnik', 'Beamt(er/in) - Bergverwaltung (höh. bergtechn. Dienst)', 'Bergbauingenieur/in', 'Bergbauingenieur/in - Tiefbohr-, Schacht- u. Tunnelbau', 'Dipl.-Ing. (Uni) - Bohrtechnik/Fluidbergbau', 'Ingenieur/in - Rohstoffgewinnung und -aufbereitung', 'Dipl.-Ing. (FH) - Bergtechnik', 'Dipl.-Ing. (Uni) - Kohleveredlung', 'Dipl.-Ing. (Uni) - Bergbau - Tagebau', 'Dipl.-Ing. (Uni) - Bergbau - Tiefbau', 'Aufbereitungsingenieur/in (Bergbau)', 'Dipl.-Ing. (FH) - Steine Erden', 'Dipl.-Ing. (Uni) - Bergbau', 'Förderingenieur/in (Erdöl-, Erdgasgewinnung)', 'Ingenieur/in - Bergbau', 'Sprengingenieur/in', 'Sprengingenieur/in (Bergbau)', 'Sicherheitsingenieur/in - Bergbau', 'Bergbauingenieur/in - Entsorgungsbergbau', 'Erdölingenieur/in', 'Dipl.-Ing. (Uni) - Tiefbohrtechnik']
